obi_pressure,trade_flow_imb,microprice_dev,vwap_spread,depth_slope,cancel_ratio,r60,r300,r1800
0.84,12.5,-0.12,0.45,1.24,0.15,1.2,3.4,7.8
-1.21,-4.2,0.08,0.89,0.92,0.42,-2.4,-5.1,-11.2
0.05,1.1,0.01,0.31,1.55,0.08,0.1,0.5,1.1
1.65,24.8,-0.34,0.22,1.81,0.22,3.8,8.9,18.4
-0.42,-8.1,0.15,0.61,0.64,0.61,-0.9,-2.1,-4.5
0.98,-2.3,0.22,0.41,1.11,0.33,1.4,2.9,6.1
-1.78,-31.4,0.41,1.12,0.45,0.78,-4.2,-9.8,-22.1
0.31,5.6,-0.05,0.38,1.39,0.11,0.6,1.8,4.2
-0.12,-1.5,-0.02,0.52,1.02,0.27,-0.2,-0.4,-0.8
1.12,18.9,-0.21,0.29,1.68,0.19,2.5,5.8,12.3
